                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.80696,                 1.0992,                0.71881,                 1.2238,                0.94144,                0.90654,                0.98004,                0.78022,                0.93737,                 0.8972,                0.94645,                0.81069,                0.76459,                 1.1425,                0.56621,                 1.3537,              0.0015446,              0.0015446,              0.0015446
                     25,                0.77655,                 1.2477,                0.71533,                 1.2005,                 0.9161,                0.91845,                0.98217,                0.74604,                 0.9395,                0.85981,                0.94601,                0.81196,                0.80762,                 1.0391,                0.60802,                  1.432,              0.0015248,              0.0015248,              0.0015248
                     26,                0.76585,                 1.1932,                0.73881,                 1.2053,                 0.9586,                0.91589,                0.97019,                   0.78,                0.95244,                 0.8972,                0.94855,                0.77022,                0.73601,                 1.2653,                0.54857,                 1.3233,               0.001505,               0.001505,               0.001505
                     27,                0.80845,                 1.1543,                0.71581,                 1.2328,                0.94435,                0.86916,                0.96952,                0.74522,                0.90792,                0.85981,                0.94324,                0.76861,                0.82241,                 1.1566,                0.64469,                  1.429,              0.0014852,              0.0014852,              0.0014852
                     28,                0.82172,                 1.0447,                0.70047,                 1.2434,                0.89947,                0.92523,                0.96838,                0.75071,                 0.9042,                0.88785,                0.93446,                0.78723,                0.85183,                0.92478,                0.64353,                 1.4444,              0.0014654,              0.0014654,              0.0014654
                     29,                0.70388,                 1.0198,                 0.6691,                 1.1664,                0.96723,                0.90654,                0.97226,                0.75557,                0.96723,                0.90654,                0.94941,                0.79047,                 0.7508,                 1.0596,                0.59491,                 1.2996,              0.0014456,              0.0014456,              0.0014456
                     30,                0.73649,                 1.0103,                0.68001,                 1.1887,                0.95922,                0.96262,                0.98144,                0.77616,                0.93224,                0.93458,                0.95051,                0.81274,                0.80558,                 1.0047,                0.63011,                 1.3895,              0.0014258,              0.0014258,              0.0014258
                     31,                0.76561,                 1.1005,                0.73885,                 1.2377,                0.93471,                0.92523,                0.97546,                0.80052,                0.93193,                0.89567,                0.94137,                0.78197,                0.72126,                 1.1514,                0.55519,                 1.2746,               0.001406,               0.001406,               0.001406
                     32,                0.72527,                 1.0287,                0.67907,                 1.1872,                0.93562,                0.95069,                0.97243,                0.76979,                0.91692,                0.92828,                 0.9519,                0.80131,                 0.7423,                 1.0732,                 0.5852,                 1.3735,              0.0013862,              0.0013862,              0.0013862
                     33,                0.72493,                0.99193,                0.66666,                 1.1891,                0.95217,                0.97196,                0.98993,                0.77196,                0.92445,                0.94393,                 0.9622,                 0.8121,                0.73168,                0.98993,                0.57096,                 1.3261,              0.0013664,              0.0013664,              0.0013664
                     34,                0.69793,                 1.0369,                0.63071,                 1.1615,                0.99309,                0.93458,                0.98756,                0.80888,                0.95139,                0.91454,                0.94889,                0.82569,                0.68828,                 1.0197,                0.49226,                 1.2687,              0.0013466,              0.0013466,              0.0013466
                     35,                0.70905,                 1.0358,                0.63292,                 1.1863,                0.90327,                0.96262,                0.96281,                0.78906,                0.87654,                0.93458,                0.93215,                0.79559,                0.67378,                 1.0253,                0.58594,                 1.2513,              0.0013268,              0.0013268,              0.0013268
                     36,                0.69465,                 1.0184,                 0.6246,                 1.1519,                0.96822,                0.98131,                0.99255,                0.79871,                0.94933,                0.96262,                0.97525,                0.81194,                0.70127,                 1.0454,                0.50089,                 1.2761,               0.001307,               0.001307,               0.001307
                     37,                0.66264,                0.94893,                0.61629,                 1.1412,                0.96051,                0.94393,                0.98848,                0.79219,                0.93161,                0.96262,                0.97052,                 0.8325,                0.68057,                0.94829,                0.53003,                 1.3264,              0.0012872,              0.0012872,              0.0012872
                     38,                0.66509,                0.93023,                0.60205,                 1.1426,                0.98032,                0.96262,                0.99321,                0.83074,                0.97112,                0.94265,                0.98019,                 0.8544,                0.63316,                0.89648,                0.45885,                 1.2518,              0.0012674,              0.0012674,              0.0012674
                     39,                0.62555,                0.84491,                0.57783,                 1.1233,                0.94513,                0.96581,                 0.9881,                0.82294,                0.92684,                0.94727,                0.96376,                0.82409,                0.65824,                0.96593,                0.51026,                 1.2411,              0.0012476,              0.0012476,              0.0012476
                     40,                0.61899,                0.88397,                0.56329,                 1.1012,                0.95476,                0.98613,                0.98849,                0.81986,                0.96183,                0.94205,                0.96888,                0.84599,                 0.6718,                0.91971,                0.44613,                 1.2935,              0.0012278,              0.0012278,              0.0012278
                     41,                0.64133,                0.92539,                0.54817,                 1.1159,                0.97196,                0.95327,                0.98099,                0.83291,                0.97044,                0.94393,                0.96514,                0.85411,                0.62254,                0.99674,                0.44795,                 1.2266,               0.001208,               0.001208,               0.001208
                     42,                0.64082,                0.90286,                0.54459,                 1.0958,                0.93691,                0.97154,                0.98747,                0.82721,                0.98038,                0.93403,                0.97785,                0.84987,                0.67298,                0.91995,                0.50414,                  1.247,              0.0011882,              0.0011882,              0.0011882
